,name,doi,doi_link
563,BEPREV01,,
564,BEPREV02,,
565,BEPREV03,,
566,BEPRIZ,,
567,BEPROF,,
568,BEPVAV,,
569,BEPVEZ,,
570,BEPVID,,
571,BEPVOJ,,
572,BEPVOJ01,,
573,BEPWEA,,
574,BERFIP,,
575,BERGAI,,
576,BETDAH,,
577,BETDEL,,
578,BETDIP,,
579,BETDUB,,
580,BETFAJ,,
581,BETFEN,,
582,BETFUD,,
583,BETGAK,,
584,BETGEO,,
585,BETGIS,,
586,BETGOY,,
587,BETGUE,,
588,BETHEP,,
589,BETHIT,,
590,BETZOR,,
591,BEVQID,,
592,BEVQUP,,
593,BEVRAW,,
594,BEVWAB,,
595,BEWVOQ,,
596,BEWWEH,,
597,BEXPAX,,
598,BEXQIF,,
599,BEXQOL,,
600,BEXQUR,,
601,BEXRAY,,
602,BEXREC,,
603,BEXRIG,,
604,BEXRUT,,
605,BEXSAA,,
606,BEXSEE,,
607,BEXSII,,
608,BEXVEH,,
609,BEYKEX,,
610,BEYSEF,,
611,BEZDUH,,
612,BIBBUL,,
613,BIBXIV,,
614,BIBXOB,,
615,BIBXUH,,
616,BICPOT,,
617,BICPUA,,
618,BIDPOV,,
619,BIFGOO,,
620,BIFKEI,,
621,BIGZUO,,
622,BIHBAX,,
623,BIHMUC,,
624,BIJDUV,,
625,BIMDEF,,
626,BIMDIL,,
627,BINCUY_manual,,
628,BINDAF_manual,,
629,BINROH,,
630,BINRUN,,
631,BINSAU,,
632,BIPKIW,,
633,BIPLIX,,
634,BIPSUQ,,
635,BIQFOW,,
636,BIQHEQ,,
637,BIQRIE,,
638,BIQVII,,
639,BIRLIZ,,
640,BIRMUM,,
641,BIRSEC,,
642,BIRSIG,,
643,BIWHAQ,,
644,BIWSEG_ion_b,,
645,BIWSIK_ion_b,,
646,BIWYAH10,,
647,BIXXIR,,
648,BIXYEO,,
649,BIYSUZ,,
650,BIYTAG,,
651,BIYTOU,,
652,BIYVEM,,
653,BIYVIQ,,
654,BIYXUE_charged,,
655,BIYYAL_charged,,
656,BIYYEP_charged,,
657,BIZLUT,,
658,BIZMAA,,
659,BIZMEE,,
660,BIZMII,,
661,BOCKOT,,
662,BOCTEU01,,
663,BOCTOE,,
664,BOCTOE01,,
665,BOCTOE02,,
666,BOCTOE03,,
667,BOCTOE04,,
668,BOCTOE05,,
669,BODPAN,,
670,BOFCEG,,
671,BOHGOU,,
672,BOHJOZ_auto,,
673,BOJCIN,,
674,BOJYIK,,
675,BOJYIK01,,
676,BOKQEZ,,
677,BOLPAU,,
678,BOLZIN,,
679,BOMCOX,,
680,BOMCUB_charged,,
681,BONNIC,,
682,BONWAD,,
683,BONWIL,,
684,BOPHEV,,
685,BOPHIZ,,
686,BOPWIO,,
687,BOQYUD,,
688,BOTLED,,
689,BOVHEB,,
690,BOWDIC,,
691,BOWNUY,,
692,BOWQAG_SL,,
693,BOWRAH,,
694,BOWSUC,,
695,BOWZUK,,
696,BOXFOK,,
697,BOXYEU,,
698,BOXYIY,,
699,BOYCEY_auto,,
700,BOYTEQ,,
701,BOYYOF,,
702,BOZFIH,,
703,BOZFON,,
704,BUBQOE,,
705,BUBTUP,,
706,BUBWOM,,
707,BUCROH_charged,,
708,BUCSEY,,
709,BUCSIC_charged,,
710,BUCVAY,,
711,BUCVIG,,
712,BUCWAZ,,
713,BUCYAA,,
714,BUDDIO,,
715,BUFNEW_charged,,
716,BUFNOG_charged,,
717,BUGSAY,,
718,BUGSEC,,
719,BUGSIG,,
720,BUGSOM,,
721,BUJKEW01,,
722,BUKMUQ01,,
723,BUKRUW01,,
724,BUKRUW02,,
725,BUKRUW03,,
726,BUKYAJ,,
727,BULBER,,
728,BUNKUS,,
729,BUNLAZ,,
730,BUPDUM,,
731,BUPFAU,,
732,BUPFEY,,
733,BUPVEP,,
734,BUQWER,,
735,BURHUS,,
736,BURJOO,,
737,BURQIQ,,
738,BUSGIG,,
739,BUSGOM,,
740,BUSNAF,,
741,BUSQEM,,
742,BUSQIQ,,
743,BUSQUC,,
744,BUSRUE,,
745,BUVHEH,,
746,BUVWOF02,,
747,BUVWOF03,,
748,BUVXOG,,
749,BUVYEX,,
750,BUVYIB,,
751,BUVYIB01,,
752,BUWLUC,,
753,BUWMAJ,,
754,BUWMEN,,
755,BUWMIR,,
756,BUXNOZ,,
757,BUXTOF,,
758,BUXZAX,,
759,BUYNAL_charged,,
760,c4ce00408f_c4ce00408f2,,
761,c4dt03702b_c4dt03702b2,,
762,c5cc04223b_c5cc04223b2,,
763,c5cc06190c_c5cc06190c2,,
764,c5cc09432a_c5cc09432a2,,
765,c5cc10203k_c5cc10203k2,,
766,c5ce00010f_c5ce00010f2,,
767,c5ce00677e_c5ce00677e2,,
768,c5ce00862j_c5ce00862j2,,
769,c5ce01948f_c5ce01948f2,,
770,c5ce02194d_c5ce02194d2,,
771,c5cp03920g_c5cp03920g2,,
772,c5dt00281h_c5dt00281h2,,
773,c5dt02374b_c5dt02374b2,,
774,c5dt03091a_c5dt03091a2,,
775,c5gc02393a_c5gc02393a2,,
776,c5nj01930c_c5nj01930c2,,
777,c5nj02634b_c5nj02634b2,,
778,c5sc03494a_c5sc03494a2,,
779,c5ta04552e_c5ta04552e2,,
780,c5ta04989j_c5ta04989j2,,
781,c6cc00862c_c6cc00862c2,,
782,c6cc02494g_c6cc02494g1,,
783,c6cc02494g_c6cc02494g3,,
784,c6cc02494g_c6cc02494g4,,
785,c6cc02494g_c6cc02494g5,,
786,c6cc02494g_c6cc02494g6,,
787,c6ce00126b_c6ce00126b2,,
788,c6ce00141f_c6ce00141f2,,
789,c6ce00407e_c6ce00407e1,,
790,c6ce00407e_c6ce00407e2,,
791,c6ce00407e_c6ce00407e3,,
792,c6ce00407e_c6ce00407e4,,
793,c6ce00407e_c6ce00407e5,,
794,c6ce00407e_c6ce00407e6,,
795,c6ce00407e_c6ce00407e7,,
796,c6ce00407e_c6ce00407e8,,
797,c6ce00407e_c6ce00407e9,,
798,c6cp03028a_c6cp03028a3,,
799,c6dt03852b_c6dt03852b2,,
800,c6dt04165e_c6dt04165e2,,
801,c6ra27069g_c6ra27069g2,,
802,c6ra28728j_c6ra28728j2,,
803,c6ta00429f_c6ta00429f2,,
804,CABDER,,
805,CABJOH,,
806,CABQEB,,
807,CACBUG,,
808,CADPIH,,
809,CADPII,,
810,CADQAB,,
811,CADQOP,,
812,CADZIT,,
813,CAFRUX,,
814,CAGSAG,,
815,CAGXIU,,
816,CAHLEE,,
817,CAHNEF,,
818,CAHQOS,,
819,CAHSOU,,
820,CAHVAJ,,
821,CAJBUN,,
822,CAJHUS,,
823,CAJHUS03,,
824,CAJHUS04,,
825,CAJLEH,,
826,CAJQEL,,
827,CAJQIP,,
828,CAJVUG_charged,,
829,CAJWIV_ion_b,,
830,CAKFEB,,
831,CAKFEB01,,
832,CAKFIF,,
833,CAKXET,,
834,CAKXIX,,
835,CAKXOD,,
836,CAKXUJ,,
837,CAKYAQ,,
838,CAKYEU,,
839,CAKYIY,,
840,CAMROA,,
841,CANRIU,,
842,CANROA,,
843,CANRUG,,
844,CANYIB,,
845,CANZOH,,
846,CAPLOX,,
847,CAQCAZ,,
848,CARGEI,,
849,CASTEW,,
850,CATART03,,
851,CAVMIW,,
852,CAVMOD,,
853,CAVNOE,,
854,CAVPEW_manual,,
855,CAVPIA_manual,,
856,CAVPUM_manual,,
857,CAVRAU,,
858,CAVREY,,
859,CAVSUP,,
860,CAVTAW,,
861,CAVVUS,,
862,CAWDOU_charged,,
863,CAWDOU01_charged,,
864,CAWDOU02,,
865,CAWGAJ,,
866,CAWVIH_SL,,
867,CAWZUX,,
868,CAXPIC,,
869,CAXTAY,,
870,CAXTEC,,
871,CAXVII,,
872,CAXVOO,,
873,CAXVUU,,
